"Date","Time","Open","High","Low","Close","Volume"
11/12/2020,1309,119.25,119.39,119.23,119.38,113794
11/12/2020,1310,119.38,119.39,119.22,119.28,101895
11/12/2020,1311,119.27,119.32,119.16,119.18,142508
11/12/2020,1312,119.18,119.24,119.11,119.22,159480
11/12/2020,1313,119.22,119.24,119.07,119.14,186709
11/12/2020,1314,119.14,119.38,119.12,119.36,225555
11/12/2020,1315,119.36,119.46,119.3,119.32,222368
11/12/2020,1316,119.31,119.32,119.2,119.3,151736
11/12/2020,1317,119.29,119.3,119.17,119.17,122305
11/12/2020,1318,119.18,119.29,119.15,119.19,146433
11/12/2020,1319,119.19,119.29,119.19,119.24,139157
11/12/2020,1320,119.23,119.33,119.15,119.31,219436
11/12/2020,1321,119.31,119.33,119.19,119.2,150202
11/12/2020,1322,119.19,119.2,119.08,119.16,160576
11/12/2020,1323,119.15,119.23,119.07,119.14,236163
11/12/2020,1324,119.13,119.14,119.01,119.05,162650
11/12/2020,1325,119.04,119.17,119.01,119.11,281099
11/12/2020,1326,119.1,119.23,119.05,119.06,187546
11/12/2020,1327,119.05,119.05,118.88,118.91,368995
11/12/2020,1328,118.91,119.05,118.9,118.95,204237
11/12/2020,1329,118.94,119.03,118.91,118.95,137811
11/12/2020,1330,118.94,118.94,118.68,118.76,465056
11/12/2020,1331,118.76,118.99,118.74,118.91,247194
11/12/2020,1332,118.92,119.12,118.89,119.08,231109
11/12/2020,1333,119.08,119.1,119.02,119.03,136691
11/12/2020,1334,119.02,119.05,118.91,118.98,180305
11/12/2020,1335,118.98,119.03,118.93,118.94,118772
11/12/2020,1336,118.94,119.05,118.93,119.03,114742
11/12/2020,1337,119.02,119.1,119.01,119.08,166424
11/12/2020,1338,119.09,119.14,119.06,119.1,204804
11/12/2020,1339,119.1,119.1,118.96,119,160969
11/12/2020,1340,119.01,119.05,118.96,118.98,111012
11/12/2020,1341,118.99,119.02,118.93,119.01,154930
11/12/2020,1342,119.01,119.04,118.97,118.97,115224
11/12/2020,1343,118.97,118.99,118.86,118.87,160443
11/12/2020,1344,118.87,118.92,118.83,118.9,142670
11/12/2020,1345,118.91,118.95,118.84,118.84,110589
11/12/2020,1346,118.83,118.87,118.73,118.73,182473
11/12/2020,1347,118.73,118.82,118.73,118.79,145189
11/12/2020,1348,118.79,118.81,118.72,118.72,112154
11/12/2020,1349,118.73,118.77,118.57,118.62,272159
11/12/2020,1350,118.63,118.83,118.61,118.82,234989
11/12/2020,1351,118.83,118.97,118.83,118.93,173441
11/12/2020,1352,118.92,119.08,118.9,119.02,257097
11/12/2020,1353,119.03,119.05,118.98,119,192587
11/12/2020,1354,119,119.03,118.97,119,239457
11/12/2020,1355,119.01,119.09,119,119.08,120311
11/12/2020,1356,119.07,119.19,119.05,119.14,187103
11/12/2020,1357,119.14,119.19,119.1,119.12,139108
11/12/2020,1358,119.12,119.18,119.1,119.15,103269
11/12/2020,1359,119.14,119.17,119.13,119.14,78789
11/12/2020,1400,119.13,119.15,119.06,119.08,124955
11/12/2020,1401,119.09,119.09,118.99,119.09,162749
11/12/2020,1402,119.08,119.27,119.08,119.26,233231
11/12/2020,1403,119.25,119.28,119.22,119.25,217092
11/12/2020,1404,119.25,119.29,119.22,119.27,142157
11/12/2020,1405,119.27,119.29,119.17,119.18,172669
11/12/2020,1406,119.18,119.19,119.02,119.06,179050
11/12/2020,1407,119.07,119.13,119.06,119.1,121295
11/12/2020,1408,119.1,119.12,118.99,119.02,206802
11/12/2020,1409,119.04,119.06,118.99,119.03,104204
11/12/2020,1410,119.03,119.06,119,119.03,109859
11/12/2020,1411,119.03,119.03,118.86,118.92,183853
11/12/2020,1412,118.9,118.91,118.85,118.9,101115
11/12/2020,1413,118.91,118.92,118.72,118.84,244871
11/12/2020,1414,118.84,118.85,118.72,118.76,117844
11/12/2020,1415,118.76,118.81,118.7,118.8,167127
11/12/2020,1416,118.8,118.8,118.7,118.77,132309
11/12/2020,1417,118.77,118.8,118.71,118.78,95376
11/12/2020,1418,118.78,118.89,118.71,118.88,200011
11/12/2020,1419,118.88,118.89,118.79,118.83,136020
11/12/2020,1420,118.82,118.87,118.77,118.81,108024
11/12/2020,1421,118.81,118.93,118.7,118.9,186302
11/12/2020,1422,118.89,118.98,118.86,118.96,146136
11/12/2020,1423,118.96,119,118.92,118.97,107235
11/12/2020,1424,118.96,118.96,118.79,118.81,138653
11/12/2020,1425,118.8,118.92,118.8,118.92,130383
11/12/2020,1426,118.92,118.99,118.92,118.96,103848
11/12/2020,1427,118.95,118.96,118.87,118.92,104882
11/12/2020,1428,118.92,118.95,118.85,118.88,79664
11/12/2020,1429,118.86,118.93,118.84,118.88,81064
11/12/2020,1430,118.88,118.89,118.78,118.81,115773
11/12/2020,1431,118.8,119,118.75,118.94,210699
11/12/2020,1432,118.95,119.17,118.95,119,253964
11/12/2020,1433,119.01,119.03,118.81,118.85,150488
11/12/2020,1434,118.85,118.89,118.76,118.88,133007
11/12/2020,1435,118.89,118.91,118.8,118.86,101513
